publishedAt,headline,sentiment,score,url,cost,cached
2025-05-16 23:59:26+00:00,Open source playbook,Pos,0,https://erickimphotography.com/blog/2025/05/16/open-source-playbook/,0.0,True
2025-05-16 23:30:55+00:00,Bitcoin Repeats April Playbook – Watch This Range for Confirmation,Pos,0,https://bitcoinist.com/bitcoin-repeats-april-playbook-watch-this-range-for-confirmation/,0.0,True
2025-05-16 23:30:00+00:00,Wisconsin Pension Fund Sold IBIT Before Trade Clash,Ne,0,http://www.etf.com/sections/news/wisconsin-pension-fund-sold-ibit-trade-clash?utm_source=yahoo-finance&amp;utm_medium=rss&amp;utm_campaign=yahoo-finance-rss,0.0,True
2025-05-16 23:21:36+00:00,Moody’s historic downgrade of US credit system could add fuel to Bitcoin safe-haven status,Ne,0,https://cryptoslate.com/moodys-historic-downgrade-of-us-credit-system-could-add-fuel-to-bitcoin-safe-haven-status/,0.0,True
2025-05-16 22:15:09+00:00,How Silicon Valley's influence in Washington benefits the tech elite | TechCrunch,Ne,0,https://techcrunch.com/2025/05/16/how-silicon-valleys-influence-in-washington-benefits-the-tech-elite/,0.0,True
2025-05-16 22:00:53+00:00,Crypto Bulls Just Got Their Macro Wake-Up Call: Here’s Why,Ne,0,http://www.newsbtc.com/news/crypto-bulls-just-got-their-macro-wake-up-call-heres-why/,0.0,True
2025-05-16 22:00:10+00:00,"Bitcoin Double-Top Pattern Says Bull Market Is Over, Is A Crash Coming?",Neg,0,https://bitcoinist.com/bitcoin-bull-market-is-over/,0.0,True
2025-05-16 21:44:01+00:00,SEC bitcoin hack case gets Alabama man sentenced to 14 months in prison,Ne,0,https://biztoc.com/x/1df50a84f2396255,0.0,True
2025-05-16 21:24:20+00:00,Alabama man sentenced to 14 months in prison for role in SEC bitcoin announcement hack,Ne,0,https://www.cnbc.com/2025/05/16/alabama-prison-sec-bitcoin-hack-x.html,0.0,True
2025-05-16 21:20:35+00:00,Basel Medical Group to add $1B in Bitcoin to treasury amid falling share prices,Pos,0,https://cryptoslate.com/basel-medical-group-to-add-1b-in-bitcoin-to-treasury-amid-falling-share-prices/,0.0,True
